公車代碼,站點名稱
0100000200,葫蘆寺(葫蘆里)
0100000200,葫蘆堵市場
0100000200,海光新村
0100000200,社子消防分隊
0100000200,污水處理廠
0100000200,老師里
0100000200,酒泉街
0100000200,民族重慶路口
0100000200,昌吉重慶路口
0100000200,捷運大橋頭站
0100000200,涼州重慶路口
0100000200,民生重慶路口
0100000200,朝陽公園(鈕釦街)
0100000200,圓環(南京)
0100000200,臺北車站(承德)
0100000200,臺北車站(鄭州)
0100000200,行政院
0100000200,臺大醫院
0100000200,捷運台大醫院站
0100000200,臺北車站(青島)
0100000200,行政院
0100000200,臺北車站(鄭州)
0100000200,後車站
0100000200,圓環(重慶)
0100000200,民生重慶路口
0100000200,涼州重慶路口
0100000200,捷運大橋頭站
0100000200,昌吉重慶路口
0100000200,民族重慶路口
0100000200,蘭州國中
0100000200,民族承德路口
0100000200,庫倫街
0100000200,大龍峒保安宮
0100000200,酒泉重慶路口
0100000200,酒泉街
0100000200,老師里
0100000200,污水處理廠
0100000200,社子消防分隊
0100000200,海光新村
0100000200,葫蘆堵市場
0100000200,葫蘆寺(葫蘆里)
0100000200,社子市場
0100000200,社園里
0100000200,社子派出所
0100000200,永倫里(南)
0100000200,社子國小
0100000200,永倫里(延平)
0100000200,洲美橋
0100000200,中窟
0100000200,福安里
0100000200,福安區民活動中心
0100000200,下竹圍
0100000200,地藏禪寺
0100000200,臨江園
0100000200,福安國中
0100000200,富洲里八段
0100000200,富安國小
0100000200,建安新村
0100000200,下溪沙尾
0100000200,威靈廟
0100000200,富洲里九段
0100000200,浮線
0100000200,台北海大
0100000200,富洲里
0100000500,中和保養廠
0100000500,家美工業區
0100000500,捷運中和站(中山路)
0100000500,一江新村
0100000500,中和農會(中和路)
0100000500,中和廟口
0100000500,中和派出所
0100000500,南山高中
0100000500,雙和里
0100000500,華泰新城(宜安路)
0100000500,宜安路
0100000500,安平路
0100000500,潭墘
0100000500,823紀念公園
0100000500,永安市場
0100000500,自強街口
0100000500,樂華夜市
0100000500,捷運頂溪站
0100000500,中正橋頭
0100000500,重慶南路三段(中正橋)
0100000500,福州街
0100000500,自來水西分處(牯嶺)
0100000500,南昌路
0100000500,南門
0100000500,一女中(公園)
0100000500,捷運台大醫院站
0100000500,臺北車站(青島)
0100000500,行政院
0100000500,中山市場
0100000500,南京林森路口
0100000500,南京吉林路口
0100000500,捷運松江南京站
0100000500,長春松江路口
0100000500,民生松江路口
0100000500,合江街口
0100000500,臺北大學(臺北校區)
0100000500,捷運中山國中站
0100000500,民權龍江路口
0100000500,民權建國路口
0100000500,民權松江路口
0100000500,捷運行天宮站(松江路)
0100000500,長春松江路口
0100000500,南京吉林路口
0100000500,南京林森路口
0100000500,中山市場
0100000500,行政院
0100000500,臺北車站(公園)
0100000500,捷運台大醫院站
0100000500,一女中(公園)
0100000500,市立大學附小
0100000500,南門
0100000500,寧波重慶路口
0100000500,重慶南路三段(中正橋)
0100000500,捷運頂溪站
0100000500,中興街口
0100000500,樂華夜市
0100000500,永和路口
0100000500,永安市場(永貞路)
0100000500,中安街
0100000500,安平派出所
0100000500,安平路
0100000500,宜安路
0100000500,華泰新城(宜安路)
0100000500,雙和里
0100000500,南山高中
0100000500,中和派出所
0100000500,中和廟口
0100000500,中和農會(中和路)
0100000500,一江新村
0100000500,捷運中和站(中山路)
0100000500,家美工業區
0100000500,中和保養廠
0400000800,捷運新店站(新店路)
0400000800,溪頭
0400000800,大坪頂
0400000800,頂城
0400000800,胡璉故居紀念館
0400000800,下城社區
0400000800,安華路口
0400000800,輕軌安康站
0400000800,及人中學
0400000800,十四份
0400000800,光華街口
0400000800,輕軌陽光運動公園站
0400000800,石頭厝
0400000800,安和路二段
0400000800,陽光運動公園(新店花市)
0400000800,永平里
0400000800,輕軌新和國小站(水工大樓)
0400000800,新和國小
0400000800,三介廟
0400000800,景新街
0400000800,欣欣向榮(景新街)
0400000800,景新街口
0400000800,捷運景安站
0400000800,中和教會
0400000800,景新街
0400000800,三介廟
0400000800,新和國小
0400000800,輕軌新和國小站(水工大樓)
0400000800,永平里
0400000800,陽光運動公園(新店花市)
0400000800,安和路二段
0400000800,石頭厝
0400000800,輕軌陽光運動公園站
0400000800,光華街口
0400000800,十四份
0400000800,及人中學
0400000800,輕軌安康站
0400000800,光華新村(安康路)
0400000800,安華路口
0400000800,下城社區
0400000800,胡璉故居紀念館
0400000800,頂城
0400000800,大坪頂
0400000800,溪頭
0400000800,碧潭橋頭
0400000800,檳榔路
0400000800,捷運新店區公所站(北新)
0400000800,中正路
0400000800,中興中正路口
0400000800,五峰國中
0400000800,中興路一段
0400000800,舊郵政館
0400000800,捷運新店站(新店路)
0100000900,社子國小
0100000900,永倫里(南)
0100000900,社子派出所
0100000900,社子市場二
0100000900,社子市場
0100000900,葫蘆寺(葫蘆里)
0100000900,葫蘆堵市場
0100000900,海光新村
0100000900,社子消防分隊
0100000900,污水處理廠
0100000900,老師里
0100000900,酒泉街
0100000900,民族重慶路口
0100000900,昌吉重慶路口
0100000900,捷運大橋頭站
0100000900,涼州重慶路口
0100000900,保安街口
0100000900,民生西路口(大稻埕碼頭)
0100000900,南京西路口(鈕釦街)
0100000900,南京西路口(塔城)
0100000900,聯合醫院中興院區(塔城)
0100000900,捷運北門站
0100000900,中華路北站
0100000900,捷運西門站
0100000900,小南門
0100000900,龍山國中
0100000900,昆明街口
0100000900,龍山寺(康定)
0100000900,祖師廟(康定)
0100000900,長沙街
0100000900,捷運西門站
0100000900,中華路北站
0100000900,捷運北門站
0100000900,南京西路口(塔城)
0100000900,南京西路口(鈕釦街)
0100000900,民生西路口(大稻埕碼頭)
0100000900,保安街口
0100000900,涼州重慶路口
0100000900,捷運大橋頭站
0100000900,昌吉重慶路口
0100000900,民族重慶路口
0100000900,蘭州國中
0100000900,民族承德路口
0100000900,庫倫街
0100000900,大龍峒保安宮
0100000900,酒泉重慶路口
0100000900,酒泉街
0100000900,老師里
0100000900,污水處理廠
0100000900,社子消防分隊
0100000900,海光新村
0100000900,葫蘆堵市場
0100000900,葫蘆寺(葫蘆里)
0100000900,社子市場
0100000900,社園里
0100000900,社子派出所
0100000900,永倫里(南)
0100000900,社子國小
0100001200,華中河濱公園
0100001200,果菜市場
0100001200,光仁國小
0100001200,青年路派出所
0100001200,青年路
0100001200,中正新城
0100001200,青年社區
0100001200,青年公園(青年)
0100001200,青年公園(國興)
0100001200,國興路口一
0100001200,國興路口
0100001200,中華南海路口
0100001200,南機場公寓
0100001200,廈安里
0100001200,大埔街
0100001200,聯合醫院和平院區
0100001200,捷運西門站
0100001200,中華路北站
0100001200,捷運北門站
0100001200,延平一站(長安)
0100001200,圓環(重慶)
0100001200,圓環(南京)
0100001200,捷運中山站(志仁高中)
0100001200,南京林森路口
0100001200,南京吉林路口
0100001200,捷運松江南京站
0100001200,長春國小
0100001200,臺北大學(臺北校區)
0100001200,長春市場
0100001200,慶城街口
0100001200,長庚醫院
0100001200,公教住宅
0100001200,介壽國中
0100001200,聯合二村
0100001200,民生社區活動中心
0100001200,廣合新村
0100001200,三民國小
0100001200,新益里
0100001200,民生國中
0100001200,新東街口
0100001200,民生社區活動中心
0100001200,聯合二村
0100001200,介壽國中
0100001200,公教住宅
0100001200,民生敦化路口
0100001200,興安華城
0100001200,長春市場
0100001200,臺北大學(臺北校區)
0100001200,長春國小
0100001200,松江長春路口
0100001200,南京吉林路口
0100001200,南京林森路口
0100001200,捷運中山站(志仁高中)
0100001200,後車站
0100001200,延平一站(長安)
0100001200,聯合醫院中興院區(塔城)
0100001200,捷運北門站
0100001200,中華路北站
0100001200,捷運西門站
0100001200,小南門
0100001200,聯合醫院和平院區
0100001200,大埔街
0100001200,廈安里
0100001200,南機場公寓
0100001200,中華南海路口
0100001200,國興路口
0100001200,古亭國中
0100001200,萬華醫院
0100001200,國興社區
0100001200,青年公園(國興)
0100001200,青年公園(青年)
0100001200,青年社區
0100001200,中正新城
0100001200,青年路
0100001200,青年路派出所
0100001200,光仁國小
0100001200,果菜市場
0100001200,華中河濱公園
0100001400,蘆洲站
0100001400,和平路口
0100001400,蘆洲監理站(中正路)
0100001400,蘆洲國小
0100001400,中原公寓
0100001400,空中大學(中正路)
0100001400,王爺廟口
0100001400,民族路口
0100001400,捷運蘆洲站
0100001400,捷運蘆洲站
0100001400,長榮路
0100001400,永平市場
0100001400,永樂街
0100001400,長安街
0100001400,成功國小
0100001400,永康公園
0100001400,長安街一
0100001400,忠義廟
0100001400,延平里
0100001400,九芎街
0100001400,九芎廟
0100001400,九芎街口
0100001400,永安里
0100001400,大同新村
0100001400,褒仔寮
0100001400,穀保家商
0100001400,仙公廟
0100001400,博愛新村
0100001400,三重商工(中正北路)
0100001400,忠孝三民街口
0100001400,東海中學
0100001400,三民街
0100001400,三重稅捐分處
0100001400,菜寮(重陽路)
0100001400,菜寮(重新路)
0100001400,捷運菜寮站
0100001400,中山藝術公園
0100001400,中正南路
0100001400,重安街口
0100001400,臺北車站(鄭州)
0100001400,行政院
0100001400,臺北車站(忠孝)
0100001400,重安街口
0100001400,中正南路
0100001400,中山藝術公園
0100001400,捷運菜寮站
0100001400,菜寮(重新路)
0100001400,菜寮(重陽路)
0100001400,三重稅捐分處
0100001400,三民街
0100001400,東海中學
0100001400,忠孝三民街口
0100001400,三重商工(中正北路)
0100001400,博愛新村
0100001400,仙公廟
0100001400,穀保家商
0100001400,褒仔寮
0100001400,大同新村
0100001400,永安里
0100001400,九芎街口
0100001400,九芎廟
0100001400,九芎街
0100001400,延平里
0100001400,忠義廟
0100001400,長安街一
0100001400,永康公園
0100001400,成功國小
0100001400,長安街
0100001400,永樂街
0100001400,永平市場
0100001400,長榮路
0100001400,捷運蘆洲站
0100001400,民族路口
0100001400,王爺廟口
0100001400,空中大學(中正路)
0100001400,中原公寓
0100001400,蘆洲國小
0100001400,蘆洲監理站
0100001400,和平路口
0100001400,蘆洲站
0100001800,華江站
0100001800,人壽一村
0100001800,大理高中
0100001800,華江派出所
0100001800,龍山國小
0100001800,萬華分局
0100001800,桂林路
0100001800,昆明活動中心
0100001800,內江街
0100001800,西門市場(漢中)
0100001800,寶慶路
0100001800,博愛路
0100001800,臺北郵局
0100001800,臺北車站(忠孝)
0100001800,臺大醫院
0100001800,捷運中正紀念堂站(中山)
0100001800,捷運中正紀念堂站(勞保局)
0100001800,自來水西分處(寧波)
0100001800,聯合醫院婦幼院區一
0100001800,南昌家具街
0100001800,捷運古亭站(和平)
0100001800,師大
0100001800,師大綜合大樓
0100001800,溫州街口
0100001800,大安森林公園
0100001800,龍門國中(和平)
0100001800,復興南路口
0100001800,國立臺北教育大學
0100001800,臥龍街
0100001800,和平安和路口
0100001800,捷運六張犁站(和平)
0100001800,富陽街口
0100001800,黎忠市場
0100001800,捷運麟光站
0100001800,黎忠市場
0100001800,富陽街口
0100001800,捷運六張犁站(和平)
0100001800,和平安和路口
0100001800,臥龍街
0100001800,國立臺北教育大學
0100001800,復興南路口
0100001800,國北教大實小
0100001800,龍門國中(和平)
0100001800,大安森林公園
0100001800,溫州街口
0100001800,師大綜合大樓
0100001800,師大
0100001800,捷運古亭站(和平)
