方向,公車代碼,站點名稱,緯度,經度
返程,0100000A00,三軍總醫院松山分院,25.053881,121.5578743
返程,0100000A00,南京新村,25.052778,121.5568095
返程,0100000A00,博仁醫院,25.04937,121.55774
返程,0100000A00,光復路口,25.048151,121.5567576
返程,0100000A00,美仁里,25.04821,121.553906
返程,0100000A00,臺視,25.048248,121.551437
返程,0100000A00,市民敦化路口,25.045271,121.548797
返程,0100000A00,忠孝敦化路口,25.041865,121.5487541
返程,0100000A00,仁愛敦化路口,25.039043,121.548697
返程,0100000A00,信義敦化路口,25.034123,121.5485022
返程,0100000A00,信義大安路口,25.033383,121.5461666
返程,0100000A00,捷運大安站(信義),25.033404,121.5438266
返程,0100000A00,師大附中,25.033382,121.542275
返程,0100000A00,信義建國路口,25.033595,121.538468
返程,0100000A00,捷運大安森林公園站,25.03355,121.5359159
返程,0100000A00,信義新生路口,25.033627,121.5331327
返程,0100000A00,信義永康街口,25.033765,121.5301447
返程,0100000A00,捷運東門站,25.034232,121.526986
返程,0100000A00,信義杭州路口,25.035417,121.5246296
返程,0100000A00,中正紀念堂,25.03739,121.52056
返程,0100000A00,捷運台大醫院站,25.041927,121.5163535
返程,0100000A00,博物館(館前),25.044177,121.5150573
返程,0100000A00,臺北車站(忠孝),25.046563,121.5156894
返程,0100000A00,臺北車站(公園),25.043929,121.516775
返程,0100000A00,捷運台大醫院站,25.041935,121.5161481
返程,0100000A00,中正紀念堂,25.037153,121.520771
返程,0100000A00,信義杭州路口,25.0357,121.5238361
返程,0100000A00,捷運東門站,25.034134,121.5269937
返程,0100000A00,信義永康街口(捷運東門站),25.033693,121.529727
返程,0100000A00,信義新生路口,25.03353,121.5323283
返程,0100000A00,捷運大安森林公園站,25.033496,121.5356316
返程,0100000A00,信義建國路口,25.033441,121.539045
返程,0100000A00,捷運大安站(信義),25.033323,121.5432319
返程,0100000A00,信義大安路口,25.0332,121.5456
返程,0100000A00,信義敦化路口,25.033262,121.548298
返程,0100000A00,仁愛國中,25.035951,121.5490897
返程,0100000A00,安和敦化路口,25.039761,121.5489579
返程,0100000A00,捷運忠孝敦化站,25.043012,121.549174
返程,0100000A00,市民大道口,25.045757,121.5491941
返程,0100000A00,臺視,25.04807,121.5511
返程,0100000A00,美仁里,25.048,121.55415
返程,0100000A00,榮民服務處,25.048703,121.557946
返程,0100000A00,南京新村,25.052989,121.556952
返程,0100000A00,三軍總醫院松山分院,25.05367,121.55726
返程,0100000A00,長壽公園,25.05381,121.55985
返程,0100000A00,健康新城,25.053978,121.5626621
返程,0100000A00,三民健康路口(西松高中),25.054814,121.5638473
返程,0100000A00,三民路,25.05753,121.56368
返程,0100000A00,新東街口,25.05902,121.5664423
返程,0100000A00,民生國中,25.060189,121.5676949
